"Source:","C:\Vagner\VagNES\OpenPhantom\OpenPhantom\OpenPhantom.kicad_sch"
"Date:","25/04/2022 23:03:25"
"Tool:","Eeschema (6.0.4)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","107"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","22pF","C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C2, C4, C7, C8, C9, C10, C12, C13, C14, C15, C18, C19, C21, ","13","100nF","C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C3, ","1","2,2uF 100V","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","",""
"C5, C23, C24, ","3","220pF","C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","Unpolarized capacitor",""
"C6, ","1","47pF","C_Small","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","Unpolarized capacitor, small symbol",""
"C11, C17, C22, ","3","1uF 100V","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","",""
"C16, ","1","4.7uF 16V","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","",""
"C20, ","1","100uF 100V","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","",""
"C25, ","1","22uF 25V","CP","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","",""
"CV1, ","1","30pF","C_Variable","NESRE:TrimmerCap-THT","Variable capacitor",""
"D1, ","1","LED","LED","LED_THT:LED_D5.0mm","Light emitting diode",""
"DZ1, ","1","1N4756A","1N47xxA","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1300mW Silicon planar power Zener diodes, DO-41",""
"J1, ","1","Barrel_Jack","Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal","DC Barrel Jack",""
"J2, ","1","Video","Conn_Coaxial","Conectores Vagner:rca_yellow","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",""
"J3, ","1","Audio","Conn_Coaxial","Conectores Vagner:rca_white","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)",""
"JOY1, ","1","DB9 Controle 1","DB9_Male","Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","9-pin male D-SUB connector",""
"JOY2, ","1","DB9 Controle 2","DB9_Male","Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm","9-pin male D-SUB connector",""
"Q1, Q4, ","2","BC548","BC548","Package_TO_SOT_THT:TO-92_HandSolder","0.1A Ic, 30V Vce, Small Signal NPN Transistor, TO-92",""
"Q2, ","1","BD136","BD136","Package_TO_SOT_THT:TO-126-3_Vertical","1.5A Ic, 45V Vce, Low Voltage Transistor, TO-126",""
"Q3, ","1","BC557","BC557","Package_TO_SOT_THT:TO-92_HandSolder","0.1A Ic, 45V Vce, PNP Small Signal Transistor, TO-92",""
"R1, ","1","1M","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R2, R3, R4, R9, R11, R14, R15, R18, R21, R22, R23, R24, R25, R26, R27, R29, R32, R33, R34, R36, R39, R41, ","22","10K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R5, ","1","150K","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R6, ","1","560R","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R7, ","1","680R","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R8, R42, ","2","1K","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R10, ","1","220R","R_Small","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor, small symbol",""
"R12, ","1","330R","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R13, R17, ","2","100R","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R16, R37, R38, ","3","150R","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R19, ","1","22K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R20, ","1","12K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R28, R35, ","2","220R","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R30, ","1","47K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor",""
"R31, ","1","2K2","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
"R40, ","1","68R","R_Small","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","Resistor, small symbol",""
