Designator,Mid X,Mid Y,Rotation,Layer
R5,92.92,-138.0,0.0,top
C18,37.5,-137.0,90.0,top
C22,116.7949,-115.0,0.0,top
C23,71.75,-118.5,90.0,top
C1,55.5,-99.0,0.0,top
C16,43.09,-180.09,0.0,top
C21,157.79,-117.22,0.0,top
C14,106.0,-33.5,90.0,top
C11,30.39,-180.09,180.0,top
C3,30.39,-147.07,180.0,top
C17,164.2244,-36.75,0.0,top
C19,173.0,-43.75,180.0,top
C4,114.625,-155.125,90.0,top
C7,161.0,-98.0,90.0,top
C8,115.726,-129.559,90.0,top
C9,173.625,-155.125,90.0,top
C12,144.5,-178.58,90.0,top
J2,69.0,-33.0992,180.0,top
C15,22.77,-166.12,90.0,top
CV1,55.5,-88.84,0.0,top
D1,43.8,-189.9,180.0,top
J1,115.0,-36.9,-90.0,top
J3,93.0,-33.0992,180.0,top
JOY2,163.505,-188.1697,0.0,top
Q3,27.615,-135.325,0.0,top
Q4,28.23,-99.52,0.0,top
Q2,145.875,-37.96,-90.0,top
Q1,127.25,-41.75,180.0,top
R2,183.5,-157.705,90.0,top
R3,180.0,-157.705,90.0,top
R19,171.0,-97.232,-90.0,top
R20,174.419,-97.232,-90.0,top
R13,178.0,-97.232,-90.0,top
R17,181.5,-97.232,-90.0,top
R37,79.0,-30.92,-90.0,top
R41,82.5,-31.0,-90.0,top
R31,24.5,-109.82,-90.0,top
R28,28.0,-120.08,90.0,top
R40,38.5,-101.58,90.0,top
DZ1,102.5,-39.08,90.0,top
R27,177.0,-168.42,-90.0,top
R29,173.5,-168.42,-90.0,top
R33,166.5,-168.42,-90.0,top
R36,159.5,-168.42,-90.0,top
R39,187.0,-157.705,90.0,top
R11,43.09,-172.47,0.0,top
R12,50.71,-167.39,90.0,top
R7,100.08,-44.5,180.0,top
R4,22.77,-172.47,0.0,top
R6,38.01,-154.69,180.0,top
R8,108.67,-41.75,0.0,top
R9,130.92,-41.0,0.0,top
R10,131.69,-43.75,0.0,top
SLOT1,82.35,-63.3,90.0,top
U4,174.0,-122.0,-90.0,top
U1,114.01,-92.96,-90.0,top
U2,155.52,-92.96,-90.0,top
U8,109.23,-122.0,-90.0,top
U7,169.0,-148.825,-90.0,top
U11,138.875,-170.93,-90.0,top
U3,61.27,-129.6,-90.0,top
U5,43.09,-159.77,-90.0,top
U9,151.96,-33.445,0.0,top
Y1,56.75,-113.55,-90.0,top
JOY1,75.24,-188.1697,0.0,top
R24,73.0,-168.42,-90.0,top
R18,83.5,-168.42,-90.0,top
R23,76.5,-168.42,-90.0,top
R25,69.08,-168.42,-90.0,top
R14,90.5,-168.42,-90.0,top
R22,80.0,-168.42,-90.0,top
R15,87.0,-168.42,-90.0,top
R30,64.56,-121.186,90.0,top
C24,68.25,-118.5,90.0,top
R21,71.42,-138.0,0.0,top
C6,42.5,-151.5,90.0,top
U10,139.0,-148.825,-90.0,top
SW2,57.3,-193.3,90.0,top
R1,48.895,-110.515,-90.0,top
R26,94.0,-168.42,-90.0,top
U6,109.0,-145.0,-90.0,top
C5,46.0,-151.5,90.0,top
C13,144.625,-150.125,-90.0,top
R32,170.0,-168.42,-90.0,top
R34,163.0,-168.42,-90.0,top
C2,180.0,-132.0,90.0,top
SW1,28.8,-186.8,-90.0,top
C20,173.1144,-36.75,0.0,top
R35,42.0,-101.5,90.0,top
C10,119.09,-98.0,90.0,top
R16,185.0,-107.58,90.0,top
C26,75.25,-113.5,-90.0,top
